Date,Open,High,Low,Close,Volume
1/3/2000 15:30:00,16.6,17,16.6,17,33259
1/4/2000 15:30:00,18.2,18.35,17.1,17.38,168710
1/5/2000 15:30:00,17,17.39,16.5,16.7,159820
1/6/2000 15:30:00,16.8,17,16.53,16.83,85026
1/7/2000 15:30:00,16.22,17.1,16.22,16.84,85144
1/10/2000 15:30:00,17.29,17.95,16.5,16.59,100434
1/11/2000 15:30:00,16.65,16.79,15.7,16.34,145784
1/12/2000 15:30:00,16.38,16.8,16.23,16.55,85952
1/13/2000 15:30:00,16.99,16.99,16.5,16.51,48276
1/14/2000 15:30:00,16.8,16.8,16.4,16.55,58152
1/17/2000 15:30:00,17.4,17.87,17.2,17.87,137404
1/18/2000 15:30:00,17.87,17.87,16.45,16.57,255652
1/19/2000 15:30:00,17.2,17.9,17.2,17.9,349818
1/20/2000 15:30:00,18.48,18.48,17.6,17.86,269098
1/21/2000 15:30:00,17.6,19.2,17.21,18.82,472329
1/24/2000 15:30:00,19.88,20.32,19.3,20.06,449366
1/25/2000 15:30:00,19.9,21.66,19.9,21.66,290291
1/27/2000 15:30:00,22.4,23.4,22.13,22.97,563582
1/28/2000 15:30:00,23,23.3,22.4,22.79,479165
1/31/2000 15:30:00,23.01,24.62,23.01,23.78,637380
2/1/2000 15:30:00,23.6,24.4,23.5,24.1,390779
2/2/2000 15:30:00,26.02,26.03,23.9,24.4,343832
2/3/2000 15:30:00,24.4,25,22.45,22.6,284687
2/4/2000 15:30:00,23,23.2,21.75,22.9,265704
2/7/2000 15:30:00,23.5,24.73,23,24.67,389035
2/8/2000 15:30:00,25,25.38,24.01,25.08,305208
2/9/2000 15:30:00,25.5,26.1,24.61,25.25,317233
2/10/2000 15:30:00,25,26.2,24.83,25.18,210086
2/11/2000 15:30:00,25.51,25.9,23.17,23.21,264823
2/14/2000 15:30:00,23.5,23.5,22.02,23.35,252544
2/15/2000 15:30:00,23.4,23.5,22.51,22.76,194087
2/16/2000 15:30:00,24.49,24.59,23,24.59,70600
2/17/2000 15:30:00,25.77,25.77,24.82,25.04,234160
2/18/2000 15:30:00,25.1,25.3,23.9,24.26,118777
2/21/2000 15:30:00,24.33,24.8,23.51,23.62,110472
2/22/2000 15:30:00,23.61,24,21.73,21.76,174806
2/23/2000 15:30:00,22.6,23.49,21.75,21.95,134508
2/24/2000 15:30:00,22.2,23,21.55,22.7,87892
2/25/2000 15:30:00,23,23.4,22.2,22.7,126532
2/28/2000 15:30:00,22.99,23,22,22.76,85721
2/29/2000 15:30:00,22.8,23.9,20.95,21.68,258688
3/1/2000 15:30:00,21.8,23.42,21.8,23.42,32094
3/2/2000 15:30:00,25,25.29,25,25.29,39936
3/3/2000 15:30:00,27.32,27.32,27.32,27.32,64294
3/6/2000 15:30:00,29.5,29.5,25.5,26.61,203641
3/7/2000 15:30:00,26.5,26.79,25.5,25.82,162412
3/8/2000 15:30:00,26.5,27.89,26.2,27.21,200477
3/9/2000 15:30:00,27.02,28,25.1,26.96,133979
3/10/2000 15:30:00,26.13,26.3,24.81,25.42,146833
3/13/2000 15:30:00,25,27.45,25,27,207982
3/14/2000 15:30:00,27.55,28,25.6,26.54,178202
3/15/2000 15:30:00,27,27,24.7,25.99,82786
3/16/2000 15:30:00,26.2,26.2,25.51,25.7,132464
3/21/2000 15:30:00,26,26,24.67,25.58,160111
3/22/2000 15:30:00,25.98,26.5,25.41,26.12,76130
3/23/2000 15:30:00,25.83,28.21,25.83,28.04,253844
3/24/2000 15:30:00,27.51,27.78,26.45,27.34,117154
3/27/2000 15:30:00,27.5,27.8,26.63,27.17,61131
