Date,Open,High,Low,Close,Volume
8/25/2004 15:30:00,149.84,149.84,122.38,123.5,17116372
8/26/2004 15:30:00,124,124.63,121.91,122.38,5055400
8/27/2004 15:30:00,122.8,122.8,119.82,120.33,3830750
8/30/2004 15:30:00,121.24,123.75,120.63,123.35,3058151
8/31/2004 15:30:00,123.31,123.75,122,123.51,2649332
9/1/2004 15:30:00,123.75,124.38,122.95,123.49,2491943
9/2/2004 15:30:00,123.74,125.58,123.25,124.21,2669544
9/3/2004 15:30:00,125.75,137.5,123.8,124.73,1233732
9/6/2004 15:30:00,129.99,129.99,124.11,124.36,1129834
9/7/2004 15:30:00,129.38,129.38,124.38,124.45,721529
9/8/2004 15:30:00,124.5,125.1,123.89,124.21,824248
9/9/2004 15:30:00,124.63,124.74,122.31,122.5,993398
9/10/2004 15:30:00,123.75,123.75,122,123.6,801884
9/13/2004 15:30:00,123.88,126.94,123.88,125.44,2613114
9/14/2004 15:30:00,125.63,127.35,125.37,126.96,1916934
9/15/2004 15:30:00,127.25,127.5,125.15,125.76,1498536
9/16/2004 15:30:00,125.88,126.88,125.31,126.06,919778
9/17/2004 15:30:00,126.5,128.74,126.29,128.06,1828487
9/20/2004 15:30:00,129.05,129.61,127.52,127.86,1069028
9/21/2004 15:30:00,128.11,131.06,127.75,130.73,1737135
9/22/2004 15:30:00,131.05,132,129.64,131.51,1921448
9/23/2004 15:30:00,131,131.13,128.38,128.78,1977460
9/24/2004 15:30:00,128.64,130,128.25,128.6,1010401
9/27/2004 15:30:00,128.44,129.06,126.88,127.6,1028689
9/28/2004 15:30:00,127,128.43,126.56,126.95,792427
9/29/2004 15:30:00,127.41,129.13,127.02,128.88,1467147
9/30/2004 15:30:00,129.45,130.11,127.58,128.39,1565179
10/1/2004 15:30:00,128.63,132.06,128.29,130.96,1371111
10/4/2004 15:30:00,132.13,135.13,131.81,134.56,1891228
10/5/2004 15:30:00,135.04,136.13,134.44,135.09,1792661
10/6/2004 15:30:00,135.13,137.85,134.38,135.2,2208833
10/7/2004 15:30:00,135.38,137.5,135.38,137.14,1260016
10/8/2004 15:30:00,137.25,138.88,136.88,137.26,1069865
10/11/2004 15:30:00,137.5,138.94,135.63,136.16,1166507
10/12/2004 15:30:00,138.75,139.38,134.71,135.56,1950064
10/14/2004 15:30:00,137.88,140.5,136.01,139.53,2403248
10/15/2004 15:30:00,140.21,142.63,139.66,140.75,2224968
10/18/2004 15:30:00,141.75,142.75,140.66,142.16,1711668
10/19/2004 15:30:00,142.52,143.59,142.01,142.9,1470891
10/20/2004 15:30:00,143.1,143.74,141.13,141.66,900854
10/21/2004 15:30:00,142.16,142.38,140.25,140.7,801690
10/25/2004 15:30:00,140.63,140.88,138.85,139.67,1173784
10/26/2004 15:30:00,139.45,142.62,139.45,142.15,866595
10/27/2004 15:30:00,142.78,143.5,141.9,142.49,979707
10/28/2004 15:30:00,143.13,146.85,143.13,145.74,2323927
10/29/2004 15:30:00,145.99,145.99,143.15,144.53,1082722
11/1/2004 15:30:00,143.75,146.81,142.79,146.33,767196
11/2/2004 15:30:00,141.25,147.47,140.63,144.96,1108005
11/3/2004 15:30:00,145.13,148,145.13,146.9,1122267
11/4/2004 15:30:00,147.72,148.49,145.96,146.3,819476
11/5/2004 15:30:00,146.74,147.5,145,145.68,627981
11/8/2004 15:30:00,145.63,148.61,144.5,148.02,1286466
